,Time,State,Major,Programming Age,Private School,Scholarship,Tech Parents,Study With Friends,Take Notes,Last Sem Credits,Avg Screentime,Avg Distraction Time,Hours of Sleep,Last Sem GPA,Last Year GPA
0,11/5/2024 14:57:00,NJ,Computer Science,14.0,No,None,No parents,Sometimes,"Yes, on a tablet",16,5.0,2.0,7.0,2.78,2.6
1,11/5/2024 14:57:33,VA,Computer Science,8.0,No,Partial,Two parents,Sometimes,"Yes, on paper",17,3.5,1.0,7.0,3.9,3.7
2,11/5/2024 14:57:41,MD,Computer Science,14.0,No,Partial,No parents,Frequently,"Yes, on paper",17,6.5,2.0,8.0,3.9,4.0
3,11/5/2024 14:57:50,VA,Computer Science,14.0,No,Partial,One parent,Frequently,"Yes, on paper",18,6.0,2.0,8.0,4.0,4.0
4,11/5/2024 14:57:54,CA,"Data, Government and Politics",11.0,No,Partial,Two parents,Frequently,"Yes, on a computer",15,5.0,1.0,8.0,4.0,4.0
5,11/5/2024 14:58:00,MD,Computer Science,15.0,Yes,None,One parent,Sometimes,"Yes, on paper",17,6.0,1.0,7.0,2.92,3.2
6,11/5/2024 14:58:20,MD,Computer Science,12.0,Yes,None,No parents,Sometimes,"Yes, on paper",16,5.0,0.5,8.0,3.8,3.8
7,11/5/2024 14:59:22,MD,Computer Science,17.0,No,Partial,No parents,Never,"Yes, on a computer",15,5.0,1.0,7.5,3.52,3.83
8,11/5/2024 14:59:31,VA,Computer Science,15.0,No,Partial,No parents,Sometimes,"Yes, on a computer",15,5.0,0.1,7.5,4.0,4.0
9,11/5/2024 14:59:38,CA,Computer Science,12.0,No,Partial,One parent,Frequently,"Yes, on a computer",15,7.0,2.5,7.0,3.625,3.914
10,11/5/2024 14:59:43,MD,Computer Science,14.0,No,None,No parents,Never,"Yes, on a computer",12,4.0,0.001,8.0,3.575,3.657
11,11/5/2024 14:59:43,CA,Computer Science,11.0,Yes,Partial,Two parents,Sometimes,"Yes, on a tablet",18,2.7,1.0,5.0,3.478,3.0
12,11/5/2024 14:59:50,PA,Computer Science,12.0,Yes,None,Two parents,Sometimes,"Yes, on a tablet",15,9.0,11.0,7.0,3.345,3.546
13,11/5/2024 14:59:51,MD,"Math, Computer Science",9.0,No,Partial,Two parents,Never,"Yes, on paper",17,9.0,1.0,8.0,4.0,4.0
14,11/5/2024 14:59:53,MD,Computer Science,23.0,No,Partial,No parents,Never,"Yes, on paper",12,3.5,3.0,6.0,3.3,3.0
15,11/5/2024 15:01:41,VA,Computer Science,11.0,No,None,No parents,Sometimes,"Yes, on a tablet",19,7.0,4.0,7.0,3.91,4.0
16,11/5/2024 15:01:54,MD,Computer Science,18.0,No,Full,No parents,Sometimes,"Yes, on paper",15,8.0,0.5,7.0,4.0,3.94
17,11/5/2024 15:02:44,VA,Computer Science,12.0,No,None,One parent,Sometimes,"Yes, on a tablet",16,5.0,4.0,6.0,3.15,3.3
